0,1,2,3,4,5,6,7,8,9,10,11,12
272179681.17918605,251875619.88993677,210500192.44206744,232139205.70679086,222304958.13936195,224583637.85155818,224403581.4246264,250604258.18910357,282429951.51861364,275761592.4566905,232443006.3748247,263930917.08066487,214594183.43633986
214266762.85441247,277230019.0736736,280305211.3992631,293816049.0626706,210561342.4141865,227726685.907472,201552239.4082037,264176723.71284825,213648749.32705614,202858818.45987302,250780174.99163005,211391034.22684756,212093604.09891334
211703058.76138803,266673742.2685666,293348914.24128973,205322417.70496756,291349479.39402866,216569628.20156968,278035580.9772822,299124473.18781084,274848931.7617421,232767537.64202085,260807957.92053485,200553024.98490506,256669792.54426038
236265524.59329644,243128255.65259373,278335133.63012534,212532166.78105998,236302730.8394817,296862432.5337787,210464052.57661757,263427352.46319088,259798711.4819392,293094956.68758154,249155060.23943827,248992219.64665624,252478931.29433373
250079227.7510399,263863833.0349783,296166507.3645551,208721853.882242,232530503.76807377,242328513.97486347,282093939.1130477,211789546.693225,232230175.90302718,249120434.8215768,200614199.44312853,293840680.23027074,226651358.1552392
229077783.76928607,250411933.17946148,252207613.46637404,278508518.7363882,249235999.0505781,299396095.15399164,252560201.9185111,276786685.06031066,264916184.19390646,282746286.18088365,257252812.33233625,204329404.0919502,234456410.65936288
212877241.10264286,285423103.9721978,271025481.6305342,256246970.49204946,242733383.8898577,236586538.77585354,272746206.29628193,228189950.59960797,219311242.8054909,249567545.57823518,261063481.5119302,273247513.9036195,207528764.59867752
238343736.35306764,238561069.16855705,297366320.8903795,204866185.69370747,285850988.3322559,262329155.99212986,221823288.64871654,262363752.4888013,291928462.2514693,219495804.49785075,259259066.0396031,265534782.46435943,279708880.51073605
269698941.58475333,244028749.45504755,290404478.2800243,222922918.013125,232667507.37537736,239306224.99101233,248246324.20697293,260865369.16046676,239662664.97235104,265153875.9606089,228454323.29410356,200320385.35898685,280370386.14766335
234989520.09288222,274326384.0368615,280424204.98401076,252853682.9806098,208142451.90816715,220900134.65096208,278358923.5682944,232058468.67219672,232771436.06566107,264345528.93640885,237006232.116918,257638177.49966535,242448317.7372921
285442625.3246776,204625131.48475337,231092749.67544273,223647838.11836198,210147377.71563584,251496529.50118032,202122660.5097194,297854804.91439104,232730176.63481507,208865621.27510655,248197306.6869119,249452212.45298252,220732267.894639
269738045.7079866,258029590.89222112,225696220.04561594,267353330.33090195,274717801.492795,217439185.9182447,237471515.4547572,281094271.96572024,231996296.66851136,288164120.3760464,296753314.7983729,212876200.52981097,255348805.11746058
267514640.6105937,265860779.61927664,233791540.44087663,210143052.0824883,296467153.4795693,220269756.13952127,207472149.3377702,226411209.98752803,265624908.53746507,250109194.5468081,268935132.3374396,211862509.8578979,231322074.80012542
257423755.23793927,290537446.7245307,275175655.33688396,222041273.85046464,211961015.3539647,258225529.8062879,201263375.0666266,259976933.39304906,276101381.8845764,284692212.7261892,203025129.789993,244492601.8064562,217696514.1748908
266984429.7851311,281874243.18079036,267844890.81462413,296206086.42260844,250475261.74201846,298825205.2194477,219188194.29494065,299241755.04268575,279008668.8278386,212751186.13684988,211552812.14048198,252684729.61689475,279176432.36976326
256396613.98135236,278358194.274935,238903820.01714566,214499572.48138386,231212478.06563735,297544812.8791769,295791787.3450012,296840694.2763045,287900923.79660857,218072301.54367027,288613801.6061643,276176851.18662673,282227599.12065446
296737912.5956623,293361023.1141153,253683314.47019082,269565527.30907923,215888012.6355565,296070512.0141377,226697706.7698824,257261824.69344363,281034688.7807972,231396537.79603767,239920673.27927357,251993879.84073192,205123433.12716895
220876688.26713645,204888533.64488137,270767415.6257397,203588607.1111114,293808119.85854745,281627129.20095843,203954189.19621342,251749923.75538015,252808171.50078496,228530558.52682748,296872065.51275706,272907707.9778809,215835174.9013903
210080307.5448705,220745253.33096755,258939727.7313092,206062492.66579306,245776525.5917675,250881854.97420454,255477731.70505866,265733969.19439462,218372460.6505537,207768063.44780114,251692457.86772558,224891091.48865852,289605941.4549706
281484684.2911865,296237699.0808354,258413043.56092808,291004623.14532995,210601320.2160959,229485780.29855168,288197568.40834266,279755267.9642119,267609054.9552965,277949207.193902,239928745.86678007,242131283.80797216,252516470.1494682
257934044.92476305,252041530.09214813,294301858.7203574,285505781.3470839,202629974.21846488,222832167.2104769,290364702.8383758,254466288.92704952,266522811.24008986,213207409.43057376,275220147.71923804,210895773.09400487,225348572.5617356
268933906.0205731,233103461.1817074,216217333.9026271,242770403.4376144,290010682.05384064,210456080.3031091,201515657.72900647,201248383.3362988,221071361.42684877,217998672.09323138,249086568.21557856,247142018.89112937,241440683.9479895
289566890.943256,229992396.89036593,247975214.3586644,225710750.89236575,288200522.0294258,215390725.45837814,267001591.8745602,290514882.6321372,285634916.6546236,229903232.83098486,251192040.1640998,218268537.69168288,239258225.24557346
201406429.27413362,273397326.87796265,273966028.62238336,267528607.9872257,279162133.7228241,290385875.77605546,206303018.21228132,206684302.325304,278940057.6985563,254608317.0736724,262281153.6640442,292331710.9189762,239187130.18881467
257045629.54699314,280979867.1500541,279956043.3849128,240058474.863498,259548696.8206,282401308.1108954,241096144.11414966,291318469.7097072,213831505.2556765,244706124.0503747,268100132.0659114,227601026.2130619,252485498.5067301
211291978.18571353,272278794.25458777,292500557.36724305,264257778.2105692,212572789.68672296,200230276.1258127,287978398.8648438,286918487.5711668,223252916.24057323,278902214.588702,293227841.836918,208656179.21030638,237355944.97097772
265986448.773422,280788919.9904254,261406287.41628018,223581263.91109398,217627838.1728613,267087133.5334061,283696963.13224655,212212982.3454105,229007073.78099748,239710599.0411286,296274030.7279269,258155721.00643092,262463127.72227326
210147514.1636012,299996674.088606,246172669.4971126,280726510.2288981,237959811.21296018,240016143.2084902,298537318.5438527,287356322.15365857,249741601.54562992,292426278.5615097,209664308.36697504,283245425.45050347,294747636.1086719
245975561.83397213,220452081.65223232,270725707.44396967,244070358.0296147,260575903.60852513,283992045.8427506,263736880.1718883,242095565.41680807,276589073.61567503,249332172.55765584,274120378.7943368,287049706.8412482,211839573.43313304
234534481.52834672,214102735.96428052,277515445.32086754,291440691.19342506,251909799.86778808,285544820.9889457,252159271.45180145,204139799.34908736,278986682.96993995,215557369.35032064,205877107.2290553,279146608.4494287,298061740.9243396
251573767.062801,225069388.98074412,265145385.56803605,277314119.88047945,211102925.83986503,252920453.0344713,252923867.08532426,236967038.02280393,253273192.27196115,254485981.03416416,218418309.02739087,282629150.41000634,220667913.86760366
290026605.23210484,232907966.0150919,220624464.07130483,275505594.0878508,285320750.6218201,288677071.9330585,295450499.544204,270588837.95106584,236206549.3405868,222078891.81956312,286763766.3405099,293817429.1071891,293396971.1109144
250125407.94652835,259124878.61594832,234257996.35070127,295520482.5398466,222950891.48608005,266448696.03361085,260335350.66115743,285869840.5390844,289421437.3187475,204115991.7411729,273478168.2830619,214397025.75742078,217510834.59600377
