0,1,2,3,4,5,6,7,8,9,10,11,12
2194635497.2198324,2326738075.9067287,2571917364.4994683,2099641891.4068959,2101422142.8376496,2735593634.4388337,2617236342.6404743,2004099520.6329005,2481028026.890592,2557488247.357031,2115291155.1386752,2643848963.0639596,2290935714.1234665
2207015967.723418,2558725156.209523,2899485925.8452916,2211040085.163458,2338376197.8695235,2785899222.324513,2134681937.9531388,2121923336.573664,2592789177.0796833,2009155973.232781,2635884502.2544613,2110722566.6054373,2697036344.2311363
2597478050.212623,2522175462.8120146,2425407636.257571,2013883071.844721,2322447252.545414,2485381432.8537602,2671184558.366809,2292741084.0125756,2118352823.9475806,2617789902.4249973,2582765707.462802,2984045878.326702,2460276663.320623
2927401130.892447,2228356448.513649,2411630341.39392,2532616917.8910813,2687253726.1536937,2207287433.4254737,2998477919.0986423,2269906120.9659758,2695556061.9182553,2499504822.4331975,2924419235.733103,2291366952.821816,2422996544.2116613
2876951989.0034704,2353906248.267893,2929258051.0411344,2352677778.719736,2909961569.404784,2982601920.525009,2100875010.898439,2850710636.8726115,2566482337.34519,2656252964.923376,2260092611.6457467,2011242410.1392071,2833675813.99266
2140719442.7466116,2896409688.7200594,2817029492.8774886,2283494377.4313354,2344539589.645636,2877934988.710981,2966174784.735061,2521110498.9057736,2570487060.9004784,2022941240.5086668,2122821134.1597593,2551685683.193541,2655618364.242842
2209533233.3789883,2533876247.749421,2801010808.576062,2848083167.21086,2213176617.3340144,2195498670.685195,2883222621.0992126,2609914688.103892,2884164238.89723,2779692362.215772,2023447805.420651,2207312499.593989,2254590985.9402394
2750102374.801966,2518520091.2508516,2455221820.577733,2552243165.3223763,2871954179.9983215,2776614318.053136,2932800018.0115356,2381781508.7337112,2896901252.1275043,2743226674.520025,2428787730.9471836,2598077785.672813,2252050050.4017572
2543186085.1002107,2859508228.240916,2545291337.3187265,2313388186.474255,2163494862.581945,2793774871.348167,2636236670.694369,2865389351.692393,2695239182.7247386,2352117382.467104,2245071167.5586157,2812394495.189322,2663989715.7858324
2765226478.7213464,2035707886.9932983,2948692375.4447384,2118272455.6650152,2750647864.2745886,2299100120.556896,2969652101.8381205,2896316952.1674185,2183488653.260271,2704241028.488684,2118827317.9583495,2620465275.7321115,2070486291.795825
2778929097.0393386,2144044303.2818952,2118065638.4412298,2974558707.6786833,2343620751.0418053,2475565225.7260118,2606473170.6165743,2646984471.774886,2402689347.2335205,2967437544.07022,2369943583.3278136,2097946190.1723933,2681838400.30525
2518044926.278864,2890283840.736618,2778041438.9068785,2151231122.489039,2773205549.41062,2146795959.615209,2209811511.378967,2046580793.1093729,2802393336.867875,2010587450.0328658,2574018701.272494,2170395120.7514863,2501187368.2317905
