0,1,2,3,4,5,6,7,8,9,10
0.0,1443030029.9362507,1522218047.9375763,1518012139.7572758,1519484139.1060078,1502558685.0708966,1463383951.73665,1493376408.042562,1524620737.218149,1506051471.6530955,1512531241.0058882
0.0,1489968971.7563128,1473190579.978241,1512769096.7206094,1457171010.2445407,1528578639.3186476,1504362152.3057482,1474287736.740282,1466664235.848625,1431865381.8590622,1466603860.0551825
0.0,1494349742.2143207,1520760543.8762264,1435207951.2580829,1413638390.1238506,1382284545.2731187,1517173849.96057,1489146832.8119378,1515540204.148213,1422522312.6685863,1437599577.098767
0.0,1508155392.688763,1489684748.8094852,1478822735.1582897,1449771699.7248476,1453602777.6772285,1466897487.8481836,1513316535.0589828,1448964538.0185044,1450990096.011977,1516946618.4358485
0.0,1506315619.2950306,1484815964.0736015,1508044255.9294865,1452986479.5084596,1499495880.6580906,1494168090.9673612,1508967582.4070106,1438479813.9090395,1463387468.8525383,1432674116.0050123
0.0,1471717886.2552607,1436636841.3799365,1507427933.7403831,1506713166.2255216,1508113003.4451916,1469813450.5577092,1487443624.2188866,1385288825.4195232,1499230142.6396394,1516269206.244931
0.0,1445179934.1192763,1468638999.59027,1467188595.5453498,1507325606.6809418,1484639600.3024056,1491284870.5289805,1518649759.0627615,1481413657.367161,1478734280.9367468,1464234823.1526752
0.0,1507689318.8783457,1455199913.2982178,1505523672.261095,1519488735.03546,1487473796.670353,1488731754.173208,1452535251.0438566,1416786305.6265495,1437478530.0536103,1531782295.0331838
0.0,1510023630.0213432,1430689248.3661084,1486988766.5201437,1486608571.4281616,1499017892.552029,1463330301.6086276,1476546066.7836962,1515153073.964316,1519255389.3525474,1528844016.9928129
0.0,1461976438.0000823,1482609073.5698829,1426405752.89119,1511534308.886918,1417382741.0873046,1433602368.0787735,1470542824.512256,1522896169.6971478,1474916983.9011476,1489885729.8883667
0.0,1469051673.5027092,1509092928.0779548,1433386389.7749894,1518279956.4400861,1506132617.7932076,1473767124.547722,1482079644.2344468,1509208464.3574734,1284721162.6721404,1528793629.55887
0.0,1521979010.966042,1492678232.5283139,1511094254.7119148,1537840202.2951636,1459095672.5487242,1502708101.3734603,1513425168.933353,1493060120.4158626,1482979740.802735,1499789476.1727426
0.0,1471667892.553588,1442305330.774182,1485372591.2415094,1435195585.5485742,1501967017.3169367,1488624426.5429287,1449150087.077288,1475688311.158424,1448600114.122011,1546076947.8274558
