0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.0,1461411657.6004772,1428452076.6896312,1469751822.2627344,1499152618.593863,1511315212.1374147,1518549571.0294833,1495385522.7008317,1505502169.3761003,1480242461.9526484,1497884652.3796625,1494837824.5947766,1513415299.7091877,1487398085.6262653,1453995200.7473638,1358366484.829461
0.0,1469264389.1572402,1457371082.387773,1503988504.725016,1479921924.4122736,1508500033.1604478,1493995115.7274206,1496315706.3970547,1484947123.176573,1525082047.939474,1493031116.0155644,1526435840.0855699,1530626151.0729954,1512043349.4749053,1509976165.9851925,1498064238.6749551
0.0,1454625881.5653422,1506723825.8088305,1503097454.402826,1474039225.7875593,1501272930.2317898,1470789898.8589096,1513247897.0764985,1516717991.946785,1512428084.505394,1482340168.7915027,1515141530.2715888,1478365915.7457776,1521016996.79871,1458090530.2967582,1427958691.2111478
0.0,1498121470.3464491,1495564879.126862,1538024019.9688313,1506369961.6327667,1479269514.545648,1492752887.1339047,1517016126.1979272,1426557738.136668,1491778475.4740982,1513328847.6960177,1498128131.853684,1532708130.8167093,1476039094.9404292,1543479164.4800076,1474198127.1975203
0.0,1469023609.8122215,1449636963.5636048,1480229249.708925,1522664065.076252,1537980211.2234304,1482759242.4479127,1492797216.99223,1493992537.235777,1475667022.6834033,1480478032.5963411,1462777987.7686462,1486043410.3597689,1497472250.0133255,1517995602.5106819,1495039530.1111803
0.0,1478933412.5788817,1486269599.9720654,1504455265.9612792,1480776278.5913007,1487054143.5756128,1514493734.7887795,1483250831.6345773,1510061612.1997845,1501600619.4166942,1490381322.229539,1521940967.757572,1485651915.0362828,1506649585.0884163,1487817626.1771474,1436246075.6603131
0.0,1463145523.7585523,1378814054.4640527,1491145761.8260472,1448800370.6081362,1452751033.3020175,1487697623.2430565,1507426118.4388416,1487654010.3410559,1473128384.2356703,1377199604.7926216,1515700827.9067125,1467637136.261846,1500437816.859552,1463955189.2348888,1476059260.6276739
0.0,1508622761.159405,1482786765.650345,1456344749.9919982,1507687456.8037558,1506560630.9970326,1509348368.9527528,1408370504.025676,1504437242.417099,1525751799.328263,1500917474.4353266,1498056388.2722867,1470029424.1117277,1431184985.5276666,1457326386.7915318,1553323886.553958
0.0,1501491944.292245,1523896307.9124541,1498442398.4022381,1492297542.7668817,1489631589.5721192,1484421361.386162,1516617372.0017593,1496867607.1376936,1447503910.669513,1518455881.5546024,1476872255.9209356,1523375628.4673305,1492409626.9301112,1468700116.9070668,1488380139.7512233
0.0,1478185157.9198077,1509880445.7257075,1530157751.795924,1513410122.7374773,1486465987.4784636,1475081615.6839101,1487490117.438559,1511047514.1177514,1503805360.7532191,1514612911.611579,1500441130.9581568,1468645820.913532,1491836100.7865624,1518799047.8479257,1486692925.1040235
