0,1,2,3,4,5,6,7,8,9
2831102032.8978686,2177914618.5705376,2772140788.8312726,2543417360.76363,2949232267.883655,2750859813.7607646,2130305689.4803855,2003714466.5155408,2422539450.0975013,2230105843.844539
2800161593.7941036,2207408880.2437043,2102815176.9159646,2249102780.7151065,2228097208.4350677,2558650181.7502112,2636180601.8851447,2538065332.887856,2817059053.272951,2849305672.8105235
2086324050.199647,2127510882.0999863,2712239794.200905,2193933900.73604,2647599071.0204244,2858794429.1514187,2704079921.713219,2976635077.743877,2321561131.3127995,2547636868.3503494
2335849887.3367305,2219848004.961803,2063108054.4392343,2380918590.6891108,2663482359.506219,2560487005.771056,2736769467.525865,2669441657.822847,2266149547.7748294,2621909626.2858915
2481933766.936385,2803107751.693098,2711780196.024529,2259403188.9098334,2992351273.4632416,2085986785.2488558,2553591937.1462884,2221316395.3139553,2054379610.108469,2220215627.5460696
2414776824.815224,2679049563.799051,2434299266.3509226,2870264927.9296556,2486170102.559272,2289967832.1884923,2288019873.775065,2293410920.030418,2258931438.465355,2772784963.0622087
2592516919.9716864,2084444166.349779,2583528624.5521617,2666604513.5188575,2145581337.3132107,2646802169.9862385,2544092621.633691,2247573610.8881435,2730835894.095116,2144608385.8108227
2768885432.105718,2211954856.156121,2808658757.1776695,2864990572.497097,2758091625.5575805,2734552094.457306,2003158215.2253735,2122428205.245039,2845436230.688879,2662779487.102285
2659772141.4219933,2493685473.508207,2206077916.616659,2537577744.6619363,2336746766.940606,2124671759.3445857,2481640520.5959277,2232875579.9129868,2329612487.563949,2717894332.9580684
2136759977.3586931,2483843576.4016533,2471067211.7373,2958366443.0029464,2104926061.7276762,2541345763.2701774,2101224047.1261458,2329239688.685729,2763589321.7463055,2203055757.877013
2708034040.2109766,2108670164.5706606,2651511415.2916455,2746107038.921751,2580956894.777999,2955594169.0357494,2214333596.750069,2806445738.329895,2104152474.8179085,2351150640.086937
2761441004.368825,2691150550.7893124,2459072665.6102967,2941904304.705326,2936761974.19173,2918876086.3728123,2217857544.058546,2369213362.490117,2279028458.8634,2146145302.0482163
2778845718.331465,2288842385.1222024,2095499680.4130728,2737072992.159584,2101168178.6968591,2392893832.5430336,2647325328.0712576,2773336081.543372,2410454163.8666954,2388958372.5805097
2509309927.4679165,2079191707.4872997,2298382928.7713976,2620296887.747589,2677636146.771715,2279403288.501533,2616707135.219724,2055925557.5512707,2884612122.3049746,2886609190.0045385
2927210143.0755367,2006963751.062222,2946626261.9095254,2297434047.603569,2424089942.4645543,2520764351.3630247,2576039636.3373747,2865362289.044321,2238155502.4059997,2644472671.9956713
2714079453.953194,2061538644.7085059,2031444386.0033128,2184639560.3424497,2614146424.0929713,2197520516.958636,2598963157.4553127,2324210242.6281867,2496569285.003499,2460517393.7309484
2855861006.8608274,2946315697.0558176,2309025584.290357,2529008555.866932,2042487121.547372,2334123179.5261736,2207233871.698972,2784090131.5357904,2417435284.606789,2991803476.0066094
2544999723.9252467,2890052559.425507,2891017676.924693,2975017852.540155,2480241448.2106676,2134562392.6475472,2908636290.687314,2826891312.792647,2861826017.416553,2954876776.644525
2886274185.61703,2986777900.379301,2628806047.4439096,2313795769.517782,2657241816.4318914,2380409653.6513734,2128424859.9561634,2769120418.8639965,2879618941.3707337,2512410565.394286
2508535590.492711,2728256034.2344885,2963462478.2324452,2185106190.744343,2348862603.2490435,2678734965.1572604,2880908483.493679,2420126913.4520044,2977063781.18058,2411201531.50328
