0,1,2,3,4,5,6,7,8,9
246193799.41802722,243099739.69602537,232864047.12986606,236028190.53764543,239141540.1218291,294322916.90270185,274377314.82994765,232818832.17213625,296800148.73676634,237224255.02996442
226333009.21559063,229506426.53936818,283918656.9031995,252083678.31046236,211762744.06187794,235033405.36745813,282266057.2477028,246095367.00190437,230649318.7157921,254689436.1399234
254410943.13236398,217123870.5505365,261427157.6603219,217468673.7054394,221048241.38710302,214180092.76133776,234414611.49583387,278122643.9778684,259194083.69204205,254727680.54800433
260306407.5355774,281221816.235046,210857822.02123925,215362368.59505805,250249064.9627717,294540234.0087682,241344623.52124935,241187839.17440993,219067887.50757396,297914550.76322687
226487171.63212004,260046004.72375685,272684479.0863035,254658591.81288067,292131953.61909115,287104329.81083256,278063014.55922115,220771518.3113788,251947419.89157757,225191607.93845162
284063585.3421404,267201807.3032004,263949146.45040774,201872374.05831596,280147488.25102675,208842535.57975462,287518401.1039513,200356905.9887859,271662850.32778156,226514795.80334887
214208105.57174033,230700198.99270174,219284520.64839402,205164543.0009231,279267352.3431257,254760975.97119066,220338365.9766621,291047519.2837526,250367414.10347152,256768440.3615482
230786944.02560762,272401696.8210302,261047201.22577366,291922041.5458099,230929586.3167027,298631362.83452916,256130622.27907842,279218811.3438806,223989436.03164873,255206059.89556363
252264237.87496248,225689342.38469708,283998767.05443406,298530297.4163415,212117696.80540052,261494632.45153913,209306778.30761692,206017382.72426724,233372882.48242754,280132458.2578852
261820836.44353572,269920965.79627043,226539492.7549222,296799385.869406,261920268.23211786,226603926.160398,236019611.64986253,257126607.63660994,274755623.45767546,286408733.15489405
236090374.7170424,264062622.85842797,268519549.58946705,210109186.49630496,251002657.88925081,268472227.7932195,254780660.32306495,224013689.97143778,251048121.12147003,268086170.50164756
240710524.15876636,282394779.2983262,214886295.19220123,291869785.5403455,290396386.7659413,271689222.08149695,294094521.3489149,204982645.1891633,283655525.8764772,236721781.23243403
233090770.37628868,296817362.34208536,276238244.61100423,210991082.418492,262670026.91337505,278146962.64296263,237262083.75795364,282708953.4602687,283692244.3148,251916006.36825228
279596154.4905555,248135392.12860155,278800680.263801,255636266.67849833,254056838.6860748,235668293.0944803,216978740.0468694,200181499.69445074,292930457.2717729,226378602.35979623
271428496.2759278,210025011.60472056,282856737.0708563,284375325.2829387,295366807.5183383,228852157.50691786,247462414.0123605,210091730.98280352,210163899.65725842,264790241.71281037
281022061.2576789,256297654.24389806,201502828.75690097,269200804.28645927,210141792.9769323,295264203.1691754,248325764.979444,289464375.2468057,210252616.6679913,289801554.99006355
217400076.4360521,275336644.16530126,208229064.86630023,225112910.83606625,269799736.5766314,286739998.0257647,238903309.00149623,255341884.80538273,297954993.6379923,275403691.79345536
247363962.33389798,274095363.7151474,283171931.9086435,278865635.08608085,231904385.31493083,261786818.3315313,260588808.07402542,290513300.2866739,264530825.562668,209300928.45239976
276021777.3966168,209949701.7983898,209371562.79484287,295710937.8714823,255201586.20082176,205623235.33666688,247165774.03707585,250763229.29040137,271679260.6947698,265837146.57194027
249901608.228878,241771526.16555512,288320555.99210167,265939083.25545093,216108261.89374655,229459708.60036078,299017008.77954334,250871658.0206704,200509322.27525795,294025995.71061456
213198864.02801988,213137992.89487275,277847972.44207245,247609094.285801,239381702.68038723,281967516.6283814,205771765.7798062,265307996.39696366,215955772.93026805,258202539.97059268
