0,1,2,3,4,5,6,7,8,9,10
2182072031.563923,2727677455.2722616,2455293809.360762,2439802028.7169843,2661411661.63765,2744788555.100734,2376247739.226547,2491093922.5930243,2305491679.476545,2397577830.637655,2518765527.719352
2662353376.7612634,2330242684.8097343,2712102903.770762,2750934886.8707786,2385124987.039557,2372674332.9890995,2116175150.9545135,2451838739.3271437,2462118120.0359936,2629981066.9822583,2491863670.0763383
2676964652.788245,2600123935.5421443,2994165691.429911,2961413560.898352,2497021115.865917,2443763915.629941,2458182914.5584884,2788942810.7436,2979342398.8663044,2815662140.259277,2887227322.269604
2096232617.1730394,2713037083.1545625,2677097111.088801,2207104127.3461914,2614920223.43027,2620304047.9140778,2274751375.9998507,2333699717.175014,2777299280.676522,2414992125.635245,2241256545.213205
2092769014.2032747,2385476798.6429105,2860299996.761185,2507253530.200547,2461263217.2153416,2731222888.495532,2486654177.7847996,2795587214.8480287,2725962008.52626,2740192724.4466124,2377953498.798882
2638502517.7498507,2212953269.696917,2535148204.337421,2217763907.482309,2579396711.6053534,2164163124.825956,2276830800.2388377,2479068576.4692936,2450628817.1602426,2505894001.166043,2644472427.245551
2361048608.1108403,2883720698.3748407,2084508594.5577679,2549605998.5068345,2080626711.483073,2627261271.1383944,2464453816.405427,2222241413.0208845,2330874546.45853,2434682725.3270826,2284677543.6542234
2038691976.625032,2556582267.052471,2001700651.0206907,2514757949.5508304,2350329390.6179194,2605288964.883412,2736358916.5215726,2501043240.5428224,2071638828.386249,2039355527.7086372,2870457642.8721156
2216461780.2389474,2134253293.474539,2117063234.9134052,2478058525.074901,2577410695.3666973,2957414265.824548,2753148965.1831355,2503203528.046348,2101047496.7299771,2927107200.2918606,2044676263.6797197
2982068176.328232,2261972505.2395387,2919767524.115984,2161118985.9091735,2022489081.0376039,2392908651.9581466,2609131616.842726,2735761906.051724,2152562728.9146185,2720938997.0802464,2645837799.5798087
2961414082.4575853,2838836668.550925,2766626097.1830406,2944128398.050833,2334678127.1863,2757649537.389261,2331797987.4271197,2391649991.139473,2009575898.0621076,2675431320.4602857,2360457240.441304
2084898702.7734745,2696148434.83256,2399142452.6348248,2460415089.5311203,2578133014.499525,2092070403.014305,2941486094.3325763,2856029420.7554965,2421007781.4686227,2383566696.636165,2067199552.964893
2350282663.2618346,2704839354.850239,2679788400.8690085,2763416944.042907,2897966264.974347,2696331053.4150643,2437361367.1400394,2018798058.4229956,2802751801.26154,2605600070.1297326,2255816688.0378275
2571432270.6009083,2811532765.387778,2704841934.278926,2434099540.175532,2339841626.9922924,2778789718.000259,2041371519.2720394,2450680471.842678,2422825043.6281514,2261858071.4781117,2931216032.1387362
2925583834.6127753,2078363853.6810734,2973982207.958698,2354078431.728368,2454393887.7310085,2230840775.7900996,2816501018.6895185,2722296307.117555,2910825230.211333,2495696292.798069,2496929006.778917
2694889618.652615,2443746207.5654655,2393828431.8996434,2164595207.215591,2952703863.993014,2786423351.973563,2279139922.9485884,2235459527.91812,2737140354.3504786,2793873137.3773646,2174569049.187129
2819448088.780572,2702847103.316811,2567643434.4793277,2370487195.8055696,2066389521.1527858,2872907367.4276853,2840219103.336772,2300011143.1107736,2721354638.067713,2698613488.197183,2160962327.6422935
2304635690.9896398,2081328272.5443604,2467453764.8706203,2391848352.249674,2690188205.2573943,2394867586.3295345,2143576142.1343765,2818212587.919039,2323224505.629596,2601618033.8255405,2230007440.7289248
2287461193.200099,2409992869.7463284,2088455854.5020738,2550617855.652586,2787201688.9629993,2929568468.4375696,2634497148.003458,2427127114.601593,2905313502.1889915,2684162511.5855494,2214299858.488713
2937080427.4258084,2760772791.566551,2393630938.2881455,2775883614.7961574,2213396051.7095284,2132058677.9398782,2299336052.9155903,2811155347.7009573,2385326208.263372,2752454445.933994,2156166771.6105533
2073160673.3923833,2603785982.7720633,2680308610.562074,2993690557.8231244,2085317149.1354394,2614826714.522433,2676345559.886045,2911255140.740214,2873858867.334504,2275538653.2146816,2885895131.1419168
2963448092.9247937,2919423138.161231,2764476411.661595,2262860137.665174,2124541223.1645658,2934463071.2342525,2204635350.6177273,2688275447.6750436,2367913626.0261602,2645230009.1907153,2842806828.534563
2130543037.298601,2805496570.556488,2782292193.9206734,2587634141.789609,2701346756.4471,2868847592.6970243,2457591628.9436336,2839445017.512956,2606524562.853483,2913727905.2126436,2160786207.0872474
2991892348.451945,2376348322.908842,2793151792.4453273,2355289923.9830956,2202177134.533642,2850024903.512443,2708762835.25316,2588708483.119806,2440920297.7747874,2718495240.185246,2176455118.2372518
2701472736.715636,2881233293.0736127,2359890652.7778773,2443129831.1717315,2147442968.8359766,2480681717.172783,2734495164.7859163,2757811826.8958035,2280284656.335047,2638019643.353628,2456461563.03189
2881986335.7448044,2263212947.8612776,2835690938.2289615,2233522394.363782,2216352357.9281683,2446911616.5442495,2341780307.157998,2632547684.643455,2717705243.564688,2293345826.725819,2377652824.59039
2504305886.5770726,2176107190.350243,2613045766.8757024,2899837212.200135,2719736928.7855983,2766148374.3783464,2070441074.0849671,2244536875.222235,2352011874.043392,2936156109.39306,2712200111.7561574
2523699694.7438993,2039393662.4493074,2776638015.6348796,2196446617.281905,2935249700.8558993,2062195889.0420763,2490846907.108907,2985944498.710281,2066317018.2374752,2272054529.644486,2783570657.8931136
2463636257.7839303,2805964118.0329,2449364562.4610186,2835242615.957439,2007791618.1143723,2468557858.282853,2697480611.026723,2209595085.514473,2995663625.101254,2294282633.0864806,2603757702.2266974
2338104743.683966,2419812203.871571,2681523933.740626,2766340774.24332,2573128299.687012,2482316438.5049586,2991218111.6969724,2300734487.955961,2893208147.1506934,2488826432.009727,2204188802.1103396
2556814105.18618,2311464860.338904,2554849293.722537,2486029481.0828424,2210886687.0798345,2365165479.760524,2406166495.136325,2898960383.1406307,2366950829.0279827,2819895790.741003,2828291200.6923914
2807180934.2561584,2350078485.747388,2209717673.0304136,2991260674.6176624,2010188355.4629629,2091149251.1735291,2632851440.7010846,2036177538.9617672,2084712563.84947,2143175392.8532324,2993631384.9065347
2789368316.015509,2235314209.4002266,2323165964.793865,2077732331.2465389,2187850207.8115206,2461278853.261605,2617121891.4559298,2885056758.3961396,2182483578.2986493,2787761837.650201,2030034802.4109378
2098371453.2498183,2434029490.003177,2078725741.150043,2249997385.6300955,2299597260.8463745,2286210585.9433055,2467324611.703509,2062947841.8795228,2484249642.84919,2281402136.6347203,2867513247.369662
2946688305.5045433,2534332362.748781,2432482184.232999,2484652420.971756,2174500965.8651557,2649216795.029431,2391273173.1733155,2568254981.7425895,2420660707.6338806,2401110259.922444,2613107352.422344
2843526285.4973674,2033582705.5009804,2883756461.5892158,2852516183.408363,2856199490.098706,2759078173.792234,2567688466.109545,2479376054.3254724,2424072684.4156218,2042154486.8878074,2213090326.8181815
2833461903.837038,2065245104.3265421,2754707801.6393714,2880675954.28928,2895225523.2857757,2740855637.136818,2648109538.541704,2018041966.4299748,2003432295.1120346,2377323827.62198,2477373517.6299925
2586814660.180744,2498408302.325565,2507770521.184608,2161336976.4546485,2100980146.4335399,2553521168.5992475,2938615089.7938733,2361564993.915069,2384201658.788696,2360265319.143868,2623002035.236596
2846018681.910335,2528297309.5789084,2072248979.7718256,2531508434.86167,2492407700.2475033,2790004051.186138,2578226173.7421885,2958096914.196058,2599355480.3983874,2697288220.308357,2492356207.6822047
2103479827.6866562,2766657838.80668,2809210089.762588,2515502423.5602665,2475394002.528849,2320520920.8496733,2823118377.3885026,2812042264.416775,2105944066.7950175,2681895010.156004,2844367873.380891
2949261735.229487,2856607528.891537,2693429809.025675,2393472363.499969,2347561538.2063065,2915620198.565472,2224018109.482372,2322866469.860978,2010959044.6373887,2782973741.284053,2171517071.566145
2762270810.9977055,2195002084.0798216,2441180541.2763567,2216194391.2220893,2664988434.5590134,2450602725.0585523,2958622157.509473,2565901713.953515,2315636887.636165,2467155421.0826883,2339464972.6401873
2118648675.9464297,2940265949.707157,2016787771.0539339,2388577001.0693474,2728356389.0621753,2029667661.6423833,2029775662.5568447,2386484332.2642326,2432483571.7951503,2692449707.6208797,2433480360.760947
2571169094.9647965,2769776335.3463492,2201857304.9914274,2766677769.878414,2807564111.075123,2839149261.9661,2428709345.3307223,2601962495.3718643,2384973122.117156,2147233132.7645326,2131631273.113972
2532983298.5097365,2222300717.1614866,2230506816.7922163,2085910971.6919758,2943724472.4707017,2225085147.669189,2395482885.1339245,2026423277.157039,2096195201.0791638,2030123450.5004811,2604330364.6661325
2822033955.8968325,2782606733.598584,2105701385.784236,2472546798.4626117,2807870614.579418,2669870629.853006,2401592490.2865953,2328847051.1723566,2512586539.406392,2518419963.7089176,2380657967.5016193
