0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2794321201.243893,2904725579.543217,2649288330.984933,2478771467.564288,2438806099.402348,2010134071.2170002,2286808966.134803,2633967655.963752,2250854063.736825,2811755122.65488,2089293785.093438,2939943833.627591,2777901056.3997526,2999080842.9484644,2776329471.9039245
2489799543.846638,2353637197.391858,2854766924.051323,2910096402.0742526,2923160536.2717013,2931690455.304708,2535478002.0909057,2609009298.9178615,2915017914.399706,2065790549.9671268,2348570310.832079,2258141544.770041,2850961832.4408283,2841164425.836751,2228365145.9867425
2780778546.9493556,2370240219.990098,2616937733.671023,2437957378.165712,2805331830.5810127,2926543870.4833064,2369024182.8408113,2627661458.2922564,2398358093.071466,2271721381.73467,2138338950.6188557,2114461794.1535184,2585624584.3290415,2852809037.762938,2908116430.818009
2529812287.570004,2072179729.2321246,2593868712.571233,2006853871.743936,2667246045.315545,2282820640.1737294,2357470780.2424808,2208944378.651097,2136479352.45065,2391544615.239637,2568915500.446684,2736362779.0300817,2009995892.6077175,2763449682.6253633,2852581472.0180163
2837029357.3792653,2981592057.5473337,2324877271.0389466,2597094919.1704555,2104657548.5289197,2060714378.621631,2314294955.9069214,2942579936.637332,2168543941.1022367,2817151933.4482327,2947090085.0978503,2542173005.313694,2998077920.8040967,2170095406.6339025,2563463418.3110023
2296250606.634284,2896575397.913195,2718655293.9542513,2089888199.195011,2624864970.2065544,2341525726.351537,2525202592.5048966,2759822899.603733,2557444270.4452662,2259257451.8639092,2819482564.611993,2513459323.9169283,2476337395.917265,2827837812.267643,2962533271.142883
2641728585.5692196,2257929134.5919075,2338186762.3698397,2219305063.2626433,2523855280.67427,2389024543.1687,2421916332.367734,2039525273.3362548,2299123906.326276,2397504126.9812045,2891634874.9617653,2720142679.346052,2468277143.04548,2405806517.651608,2975471037.7367535
2417814267.9125814,2324694636.561163,2272760509.779128,2246826308.5495443,2566270498.4500546,2102766530.2929606,2321448463.65348,2475045948.05554,2474791260.878789,2622791381.348562,2472835192.6471868,2474363999.074723,2288501225.11838,2483266251.815111,2153929018.392877
2993116438.5389113,2072716428.9849887,2205016123.4289727,2192252688.0177255,2259178687.5045266,2800177859.9317884,2059691620.848858,2002637867.4086347,2666940235.8814235,2845293665.8334913,2493888881.9996176,2416383235.2901487,2953174550.583264,2078173599.768281,2028225065.283101
2017514946.4754581,2068606352.7178416,2243025642.618171,2783112594.1447067,2855915038.7837496,2582040795.781588,2326063819.623286,2070533973.3274992,2749710554.8445864,2438954255.4298525,2325497086.4772286,2516823856.2523665,2716862546.005312,2794933067.860571,2906922018.234606
2624887309.940277,2073845664.0942173,2043689699.5746746,2114043277.4368548,2798619704.1404653,2982898519.4681373,2201101585.588718,2030068165.822331,2122832396.1386967,2022586478.8707194,2506530185.3486204,2254337964.029389,2234042928.1216674,2232258542.626403,2499919190.0975227
2120850000.0416195,2898825420.07817,2006948621.2234962,2747000020.0411696,2168052905.5211124,2563207288.9412637,2854595275.6886687,2517199387.1447067,2508312830.5073085,2585327231.8200207,2997334535.2125287,2753299955.1308618,2590141117.355517,2348091600.7501626,2823454462.1422434
2656863771.9745007,2898529197.720646,2661313855.7904987,2523657862.1635146,2082074043.9506905,2158635299.877183,2306352059.6322002,2459246044.828941,2301402037.8897123,2142024994.4320955,2043656212.139547,2091344417.3456042,2201215158.537879,2987290527.5752563,2369954394.8184695
2873985628.771661,2480410269.4535723,2121744094.0374966,2429593109.0432515,2285467365.404379,2090733871.4755158,2347570210.777451,2274521531.9776587,2219871003.2581983,2556693211.2843814,2586918831.9183226,2662170094.9010468,2123855880.3673725,2206905568.2537956,2761670419.4390955
2553776015.150189,2940667491.3575215,2012679762.9263895,2638179581.967765,2322611375.9747996,2205510128.74233,2006839627.9416802,2463655859.7243676,2207343042.6103544,2968818831.3450823,2692251157.37246,2538586221.857217,2142194177.2035317,2220264607.9024005,2110320057.9102843
2034046282.603927,2405313885.04035,2870470192.3552127,2639219222.733471,2350666380.341597,2319164629.8357916,2621231612.7378054,2128264023.905103,2122968148.088841,2784016028.3600345,2191928223.9531817,2557282119.3302836,2052282093.7075546,2113833630.5585494,2699939585.293452
2658543714.650163,2620237350.193402,2513976626.655865,2994350426.615229,2811221959.563275,2946192256.7530785,2861257583.673041,2464616446.0367856,2456762259.2350774,2470398904.0544496,2178612499.610172,2283725261.716356,2026679040.42214,2928557445.4860325,2671500436.91447
2629691728.817022,2110369381.868842,2244845353.125018,2350115769.416468,2562985963.4946966,2573552666.5629106,2697248843.5496874,2062154272.9962795,2398351801.872843,2090210810.8869593,2676034492.8708305,2293365262.6262894,2778162257.462788,2703040608.074106,2475799760.488324
