0,1,2,3,4,5,6,7,8,9,10,11
2982213297.095008,2148203396.9049387,2913438300.275987,2373341985.9845133,2388604551.2991934,2989274663.311593,2268616155.204964,2917293512.3630357,2642469110.95932,2245526315.6263604,2525624363.748008,2245793304.67697
2709851673.6695185,2266277165.7134085,2510085618.314491,2655381376.9141874,2500657945.9209194,2461549185.748492,2222957479.473924,2344246953.3646684,2165880859.0533156,2439533815.88116,2669760374.16038,2765909494.93153
2366116283.8660893,2968209904.0773997,2938979813.472369,2694137195.295905,2928221425.440391,2879131643.040311,2224763443.4899187,2583105006.2432933,2332848469.9367547,2021018352.2796328,2623954010.8264823,2558141349.813473
2655849461.0123997,2941773397.5571065,2276254817.282263,2286198804.7993655,2378259148.237219,2585596662.9838,2676169895.8853345,2008654134.3986478,2948555864.445601,2815981614.9926553,2083722260.9559922,2777715484.702144
2920983365.407231,2620047499.2547626,2065485134.2782009,2100144504.4097564,2943685106.6778955,2841391493.116103,2921171673.9139204,2036953970.607859,2555608956.175606,2489412745.034895,2086293668.822198,2370191945.3891435
2752454879.4992933,2462250265.5501494,2743596247.8557405,2278914664.886429,2653419129.9828196,2149676021.3868933,2061281834.620861,2047431325.4212375,2451000201.6535797,2474031876.3046803,2902689755.258191,2041218284.530097
2359622458.419596,2977033769.76442,2731743738.6719575,2211301491.0458,2919134266.271967,2210468398.314754,2082767194.3556042,2715337273.0468054,2300232867.638298,2613751448.1166453,2028803527.838909,2071207581.369714
2039307177.7111404,2838788480.4585733,2785582803.4082026,2290315057.590958,2102196869.4815304,2795785254.655969,2120215175.821595,2392767606.2075224,2883960888.0954647,2205600345.4539037,2107012722.4876738,2310917551.2626605
2629785863.4056306,2163679722.7310195,2223696096.2037272,2816718760.2351227,2239391731.240634,2799310896.145924,2099273275.735957,2280443633.3566175,2333161756.21726,2085401429.4129725,2586027566.5671206,2117396301.003617
2752991840.7363377,2641761317.226432,2002333288.5311973,2819062159.012402,2753498300.4782715,2781437045.996242,2281609374.30195,2972421429.0322986,2637257195.2292223,2577354492.591617,2896527470.5267754,2579298187.3567705
2407349822.071452,2552569146.7384515,2181725303.3497853,2878697233.5610456,2682470691.6917925,2962170205.248692,2639570431.71943,2541611066.973199,2829082575.988861,2256689461.9943933,2331488682.48132,2842595959.4909143
2090336528.0235686,2675782406.761663,2325515612.0455136,2718635551.213555,2102114057.659651,2349948936.1062784,2329505980.9855757,2204599737.4064302,2364788298.8257966,2019083991.3433983,2805807460.142353,2941246030.941547
2487930392.8021502,2067445389.1775002,2712031642.571566,2298259337.5487676,2884431963.297951,2648422299.4346485,2023558219.802192,2827920846.3361287,2715268906.6257086,2505610898.07675,2963483839.201707,2237470109.1953597
2951718590.209129,2189934779.044032,2480740828.572972,2420846569.8034153,2413266795.9139066,2494556179.9468436,2183478994.0228486,2267543161.341481,2287578306.1014705,2538145439.1636653,2666366330.741382,2996198383.1746244
2202049672.19927,2426653847.57463,2752904711.4692454,2572533587.892472,2176511328.5882707,2076979430.06996,2022420211.8481944,2185038963.6181335,2233645748.621326,2786318535.3074102,2952774579.656578,2116085303.8818712
2422353019.276362,2905974234.3514147,2187601603.241517,2227018869.1721067,2155055853.9443483,2508301745.7812834,2740023821.395262,2746743445.4034843,2425262157.3411465,2947813602.7779675,2045735795.4013035,2846649375.9742002
2490356961.3442473,2442918404.1015887,2972369350.287875,2590154969.8948193,2843633360.1328387,2209470876.0605803,2818446455.72873,2868050562.2816153,2110010641.3215332,2215473153.2299027,2220980380.506787,2994237551.0369987
2689330394.503945,2707616653.1964726,2941864434.876598,2375371771.6164737,2478514529.6180043,2389569179.251102,2295619344.424428,2836082058.0027533,2807823051.1793036,2158247599.8298655,2139907798.540977,2400793339.6711545
2124705163.2327921,2762387302.229693,2825766145.151251,2874850492.916691,2063003415.4642284,2593669993.7353406,2775567319.953144,2026089124.8223753,2474026145.733015,2589431630.9898696,2418768404.885741,2224685643.7622957
2810780565.765971,2241971793.8624578,2624814647.9426565,2052753285.5433629,2036764774.683386,2180213731.8570523,2512573246.5944734,2614713348.076356,2246919516.4950056,2936656937.6703086,2391020053.9803405,2105272036.8771753
2960925979.8928437,2624406082.1597447,2918881277.7956142,2139626930.8749654,2873939918.5304604,2806819735.139292,2113942509.9311361,2146801195.5801125,2694045236.417815,2580388849.001433,2519102727.210854,2227973978.616805
2385875365.1593213,2254345339.759301,2842539977.567742,2306620492.9495277,2454150786.837457,2043050828.8632812,2542973269.0405755,2248975355.2764797,2070501210.1152716,2348704217.869245,2598905261.8437023,2718958303.3746023
2555822955.5453324,2175140566.285548,2672281559.9389863,2703862224.576042,2406208302.7612033,2300169884.604022,2463094701.0139947,2527382723.351583,2004127519.6575415,2140999174.4550161,2326432768.79908,2364244578.4496193
2650992467.191063,2237870209.878647,2338362604.1270037,2695396912.4855914,2902184069.3714795,2834593966.6830635,2748137190.8385134,2392763724.655141,2908881432.6474237,2364188348.335224,2013835924.276254,2190315141.5435834
2981210854.2712517,2766277008.7301764,2349020252.949551,2965578308.666073,2707327870.2981067,2712246612.138938,2574060529.361274,2209252537.234355,2904687528.4057813,2092989174.058819,2090969662.7411819,2603235406.570319
2039507105.4946382,2627830450.1992383,2547590855.2500615,2772903683.4276257,2456510353.1107235,2617171016.835653,2894788486.9518175,2322218048.876098,2391319743.1430664,2413463628.354604,2606917213.992145,2981818651.22507
2241051810.1605062,2575457047.937708,2510247853.267361,2323292695.4198003,2185379601.085935,2483951017.494511,2549410667.7961187,2214517665.48197,2025645293.6048844,2583107661.332662,2641028859.5992866,2711714163.4804826
2557384163.72444,2706341773.9956355,2973563292.9198074,2413250911.7620573,2930967741.455785,2949254743.6067343,2863441498.938869,2389574640.1737304,2241365015.8788347,2523843637.9932785,2648173256.24215,2405349409.836013
2343957212.2727866,2306553591.9820366,2850910411.082858,2195262899.346886,2869314333.1307526,2233055278.713821,2149771420.260823,2307087249.667063,2398635044.6643186,2572434917.4490533,2182679558.7639627,2405672720.8246346
2641622382.4551625,2938798015.4799767,2475842806.7270584,2273896213.128461,2730322475.7349815,2175370692.6803217,2641673231.0826106,2908498248.438347,2759145875.2404037,2948626922.8926077,2383590868.4720798,2093703282.5876987
2070279715.0230236,2207306482.9887867,2741755034.277578,2050375373.5999312,2283364426.5905046,2017811069.6471565,2671263254.2452426,2811555017.836031,2414560131.039435,2174649839.7439656,2789005869.290635,2854274157.547803
2426931758.8782063,2895784598.3381824,2283515829.645715,2167808506.9141674,2569406452.697371,2657961017.787001,2341736580.418588,2704944576.386042,2326546307.4307194,2909222621.0179806,2486349185.505068,2246966492.193188
2933211167.7470946,2936036070.840402,2103285796.8577864,2562397800.4080944,2203121057.447977,2887038518.4398675,2760229315.4980154,2193978665.74766,2145716088.7975552,2681547270.1013637,2977206179.1380033,2565224474.665523
2858639319.7732115,2681075754.607525,2504882895.938331,2843050334.7398367,2229547909.276305,2854349760.601789,2294589039.588207,2561401491.5167837,2608880767.0130477,2770010659.782151,2933526369.717275,2357779982.48725
2395064993.8418484,2663014768.603473,2947975069.4376273,2045820716.9790761,2439525087.790961,2807010368.22125,2497144265.4980197,2084528902.8220177,2165855619.082655,2610494341.876568,2514456106.6962366,2643616216.214606
2108146195.1861682,2354036126.3953953,2776630655.832027,2762168174.7923675,2362796477.9676337,2957538902.3899703,2122525526.0384586,2052145996.0238712,2957053639.1314607,2642683906.8392916,2973213197.40897,2076548804.2052839
2916594276.6695437,2357140077.605204,2084385318.9066803,2206312340.9294324,2880929267.9893928,2560258053.1817336,2397939821.0229774,2211643839.336969,2363219432.996396,2659210221.5799055,2339613254.873049,2700379033.8774705
2256042687.2490516,2704183185.7229524,2462371454.666512,2783638143.9902606,2777063529.5438666,2965157586.3132343,2720474310.896869,2684885774.9441423,2857961782.9439545,2294114470.1012444,2668510433.1917586,2125681017.3592572
2541949291.840546,2974082077.170975,2073432796.7884898,2382585289.999266,2240678760.2240047,2552933416.1922708,2746079612.4589257,2346234384.179705,2009274713.6096225,2251242765.5282555,2703945312.517982,2855092005.239467
2987666525.5798593,2092153108.8734698,2099797976.2435284,2906670947.2166343,2305686838.4152555,2343278902.205654,2920309336.923992,2022294013.1590672,2637940898.8555813,2678438614.1941547,2977467221.7204256,2015570261.0208905
2535519805.925512,2137555807.460818,2224064635.535166,2717020545.4808764,2153252689.074415,2111133336.9680417,2445767359.9848742,2158218080.6032925,2842328198.9152827,2868891232.0035286,2369769272.4122577,2186885567.973881
2979434310.095931,2130837624.2768734,2970744991.0926094,2479401277.865618,2724113403.754919,2190033263.580279,2645558226.654084,2468263999.659272,2755592184.325094,2095507415.5155287,2271040710.359601,2567848282.1238184
2248443125.977287,2481829934.639808,2436371003.053431,2977421298.7360024,2955820059.312715,2305046479.094795,2180364051.6866693,2130275259.3087897,2251452669.145392,2240472418.4567823,2053405255.3705244,2895086009.391425
2859903822.0407953,2488188914.904765,2953168067.6306853,2898670693.7539697,2816627790.5868526,2813403297.925077,2878555491.2573323,2863362037.7546554,2943527268.057139,2944311543.1765323,2999317783.154955,2362531617.4365478
2662080768.2900586,2363828957.2724237,2872291336.436852,2486267644.3786283,2086033289.7227964,2233923863.289088,2294058346.2114673,2053885414.0040693,2775438592.0517516,2529877514.32971,2414904108.619275,2664358796.2754292
2162650247.222529,2001420399.1642184,2875576789.2460637,2918357818.1001477,2743012642.505507,2907325563.977121,2887550891.183625,2033719403.397777,2836139033.9794564,2678300607.346219,2290043584.7290945,2997504245.1294003
2613428286.025416,2472255042.8155675,2259300185.5355105,2507604046.4192395,2577422486.690175,2415497889.320905,2106729969.059076,2387602982.4475102,2488298595.70306,2015595985.293552,2888624291.9718595,2171740465.193722
2168605863.991302,2453192047.2276435,2571639150.576524,2408915154.155263,2358165904.766398,2747277414.0549545,2562115059.250817,2248094956.4241657,2654722605.9006147,2225352062.578299,2367390767.0773673,2003299402.3504145
2070628426.1474402,2628083045.2817597,2398599827.35404,2064196741.513543,2414305625.063214,2860985600.2368827,2924420581.2915244,2712275450.3336368,2732783674.7073154,2364088737.587444,2115239084.9263933,2750202199.609486
2590561014.359833,2042506215.470107,2093607005.2096088,2866338294.0890903,2909169957.1105714,2516686140.430148,2302183732.2697945,2308564883.4249268,2274599643.3339343,2690079296.819486,2489692571.52056,2743258760.299761
2991719572.1210465,2590898951.6247673,2509594301.471493,2480238157.962389,2400359091.464494,2638379392.0052314,2649325346.2468004,2600003447.574392,2026431240.0442019,2896636821.3962564,2189398921.551159,2001079675.9718664
