0,1,2,3,4,5,6,7,8,9,10,11,12,13
274912080.5917012,265431976.0857628,261734630.10090873,231650648.9352528,246508560.92655945,210735032.9259238,221763246.40264875,287702653.6730596,275747399.85705346,272012553.7518305,254292745.28326222,217978851.6796425,256964014.79230645,299310897.0729368
266090556.26729333,231008622.4466893,262733339.9888207,221662302.75027078,256266686.14944458,239268122.6974701,200317486.07990295,291234906.1275325,240962212.39174503,294758360.20759505,230359982.9008947,231805695.3006698,273913415.7268451,222687419.47075546
221334482.1384981,244038668.72462666,270942799.35316956,201751856.15355167,222455745.25681216,225671272.56209484,224755188.90042174,223909613.27943727,221167474.06613505,219822033.9925318,201239851.61626932,229350929.04125804,236494594.45458266,277170455.99916476
212673157.62810504,200597980.19575834,253283941.1154963,217926534.376593,222768007.20107043,253503890.763448,288421433.20846426,201943857.64760163,218735551.69604236,211158450.12260795,213037111.15058526,232554639.09363386,262304533.80987003,222876188.86999288
207394021.01742917,286773607.4192258,209229352.17320287,231345762.79942963,250019256.34720817,250960321.06118283,213621228.32341668,281576754.9741296,215100244.96058527,215369673.70687413,217769424.73532802,231488316.84341866,256498105.59908932,226500470.22108653
270549240.3291566,225748338.76086596,239306898.32991546,278620573.421576,217287774.8831532,238636673.12583283,252616829.19595456,235496513.52906272,285983514.4023785,238947509.57265526,299258718.20561665,298105575.3160874,256160241.2442641,223904156.51444778
209044712.6899897,252905359.78082573,263665004.5967769,263216986.83747193,227403835.98929483,220992924.10712975,265459509.51339075,227823048.14988655,258393973.56375346,281507975.75826454,253357787.33299756,216599923.84364575,253108334.45189017,253880773.25472468
215575668.938493,201013594.1279744,277352742.5693005,289354293.39657575,253367553.19956255,242184844.30415437,240887164.6807483,260655911.55911916,259307700.30800247,272666224.3046645,244323062.01315314,247352068.66246563,274739601.4762882,207171392.6954066
205749413.93428716,248907357.21219754,204189995.2373857,240244969.8035647,241219417.29453424,206889448.75073877,287001724.03815895,294086717.192053,201584111.25600314,272077593.7057402,213000025.0487368,241680658.488162,222520560.20173088,248894389.18413445
260696232.82414827,223520087.01835203,253736702.60437003,234804712.45445064,280749257.9011598,218994083.46538523,238540095.5508415,223839731.23278266,266170478.61582473,209526623.71063632,278267235.83644605,247836715.54604703,238359734.2501526,286447825.6680938
