0,1,2,3,4,5,6,7,8,9,10,11,12,13
2025179582.2536192,2057593540.9372933,2615345634.0366735,2746525602.1821394,2958876857.0346646,2024943633.497701,2939547263.510393,2171863485.827026,2119215356.9342103,2872961589.0198183,2577502472.2340097,2141786356.2103229,2135858601.529629,2051007565.039154
2656944981.065409,2833531058.979282,2025486439.8443217,2360183309.636197,2417722757.261047,2415186561.908401,2946883562.7451267,2372366106.798297,2672197809.0090976,2409210651.100386,2774261354.97387,2927654138.3194203,2190115853.3849034,2244760157.5985527
2356448656.830768,2265107360.0701084,2781588518.481942,2402053645.553009,2988699565.596054,2778849660.6519012,2690064327.239505,2371210854.0535436,2310700892.740778,2899608268.541039,2058821338.5842953,2426369251.1993747,2547178316.856109,2634315683.8699026
2683884719.752804,2631502851.2905717,2921183480.8332553,2049298995.1182468,2634590316.033319,2373701788.21884,2739785938.301271,2944192702.3980856,2964993846.91721,2712680358.307495,2051083440.592437,2331062956.4598913,2543179250.56024,2873066366.6347504
2995790402.2301855,2994279430.7491856,2250122207.2416716,2920113832.4977183,2398794820.751075,2504519855.3476977,2454599499.4442463,2663124687.4000134,2492015656.4242263,2638211961.025643,2900756344.778257,2488779858.220812,2835541429.224025,2753728456.576924
2883215154.2181163,2719632588.364326,2095846433.126769,2461995190.188161,2447616191.135392,2963996963.868903,2414453365.313686,2428558225.1003613,2635830632.024004,2945082789.6654816,2951144729.0896373,2945786269.4137344,2760331080.7752647,2967381237.0060835
2842811870.7951427,2688279000.0740733,2451312408.345526,2076432659.788438,2738356582.635121,2794218545.203692,2249622409.2747655,2676733075.9585724,2487759558.987454,2182499967.587201,2982980924.917152,2974396794.130676,2431985308.033434,2553824021.78171
2265131566.4702754,2527531668.997956,2520287042.787035,2042357996.8905306,2784120003.5904536,2075320311.1570752,2776218690.96834,2267170727.750382,2902355656.849874,2555198212.7075357,2208994583.748911,2521149866.0663075,2167646446.976111,2081912239.5221686
2634412169.4597144,2789055574.616593,2400500137.3004284,2960927007.4221773,2969370139.8084273,2949006598.641661,2734919038.671792,2014580306.705217,2925997788.9043984,2992987640.1255903,2989161577.5231214,2179356285.980965,2452323176.021237,2117039568.3265667
2943911602.619049,2228987634.3710136,2433940271.2336044,2409490621.996375,2463794203.9585958,2293125626.524223,2133146142.1552248,2726716647.186139,2780284448.3445063,2061525264.1371548,2231086957.492517,2826338377.9647207,2926445706.2675037,2039437309.7808146
